"species","totalbiomass","functional.group","duration","lifeform","pathway","taxon","specid","x5lspecid","origin","itistaxon","itisrecognizedname","family","countspecies","new.name..usda.","comment","totalbiomass2","spyesno"
"SORGHASTRUM NUTANS",10089.1405,"C4","PERENNIAL","GRASS","C4",120,"Sorgnuta","Sornu","NATIVE",42102,"Sorghastrum nutans","POACEAE","Y","","",10090.1405,"no"
"LYCHNIS ALBA",9837.541,"F","PERENNIAL","NON-LEGUME FORB","C3",541,"Lychalba","Lycal","INTRODUCED",516470,"Lychnis alba","CARYOPHYLLACEAE","Y","","",9838.541,"no"
"LATHYRUS VENOSUS",9203.30533,"L","PERENNIAL","LEGUME","C3",402,"Lathveno","Latve","NATIVE",25886,"Lathyrus venosus","FABACEAE","Y","","",9204.30533,"no"
"ASTER AZUREUS",9000.35227,"F","PERENNIAL","NON-LEGUME FORB","C3",512,"Asteazur","Astaz","NATIVE",35528,"Aster azureus","ASTERACEAE","Y","","",9001.35227,"no"
"APOCYNUM ANDROSAEMIFOLIUM",8491.0896,"F","PERENNIAL","NON-LEGUME FORB","C3",708,"Apocandr","Apoan","NATIVE",30156,"Apocynum androsaemifolium","APOCYNACEAE","Y","","",8492.0896,"no"
"CHENOPODIUM ALBUM",8347.33758,"F","ANNUAL","NON-LEGUME FORB","C3",514,"Chenalbu","Cheal","INTRODUCED",20592,"Chenopodium album","CHENOPODIACEAE","Y","","",8348.33758,"no"
"CAREX SP.",7893.15079,"S","PERENNIAL","SEDGE","C3",200,"Carexsp","Carsp","NATIVE",NA,"","CYPERACEAE","Y","","",7894.15079,"yes"
"ASCLEPIAS SYRIACA",7277.90484,"F","PERENNIAL","NON-LEGUME FORB","C3",509,"Asclsyri","Ascsy","NATIVE",30310,"Asclepias syriaca","ASCLEPIACEAE","Y","","",7278.90484,"no"
"SOLIDAGO NEMORALIS",5099.26323,"F","PERENNIAL","NON-LEGUME FORB","C3",561,"Solinemo","Solne","NATIVE",36281,"Solidago nemoralis","ASTERACEAE","Y","","",5100.26323,"no"
"ERIGERON CANADENSIS",5002.291,"F","ANNUAL","NON-LEGUME FORB","C3",521,"Erigcana","Erica","INTRODUCED",196266,"Erigeron canadensis","ASTERACEAE","Y","","",5003.291,"no"
"ACHILLEA MILLEFOLIUM(LANULOSA)",4604.21822,"F","PERENNIAL","NON-LEGUME FORB","C3",501,"Achimill","Achmi","NATIVE",35423,"Achillea millefolium","ASTERACEAE","Y","","",4605.21822,"no"
"RUMEX ACETOSELLA",4313.5893,"F","PERENNIAL","NON-LEGUME FORB","C3",553,"Rumeacet","Rumac","INTRODUCED",20934,"Rumex acetosella","POLYGONACEAE","Y","","",4314.5893,"no"
"LESPEDEZA CAPITATA",3799.62387,"L","PERENNIAL","LEGUME","C3",403,"Lespcapi","Lesca","NATIVE",25897,"Lespedeza capitata","FABACEAE","Y","","",3800.62387,"no"
"AMBROSIA ARTEMISIIFOLIA ELATIOR",3694.0041,"F","ANNUAL","NON-LEGUME FORB","C3",503,"Ambrarte","Ambar","NATIVE",182420,"Ambrosia artemisiifolia elatior","ASTERACEAE","Y","","",3695.0041,"no"
"POTENTILLA RECTA",2815.0807,"F","PERENNIAL","NON-LEGUME FORB","C3",550,"Poterect","Potre","INTRODUCED",24742,"Potentilla recta","ROSACEAE","Y","","",2816.0807,"no"
"ANDROPOGON GERARDI",2671.75436,"C4","PERENNIAL","GRASS","C4",102,"Andrgera","Andge","NATIVE",40462,"Andropogon gerardii","POACEAE","Y","","",2672.75436,"no"
"STIPA SPARTEA",2574.62233,"C3","PERENNIAL","GRASS","C3",122,"Stipspar","Stisp","NATIVE",42166,"Stipa spartea","POACEAE","Y","","",2575.62233,"no"
"AGROSTIS SCABRA",2274.015,"C3","PERENNIAL","GRASS","C3",101,"Agroscab","Agrsc","NATIVE",40424,"Agrostis scabra","POACEAE","Y","","",2275.015,"no"
"ASCLEPIAS TUBEROSA",2040.4659,"F","PERENNIAL","NON-LEGUME FORB","C3",510,"Ascltube","Asctu","NATIVE",30313,"Asclepias tuberosa","ASCLEPIACEAE","Y","","",2041.4659,"no"
"URTICA DIOICA",2030.774,"F","PERENNIAL","NON-LEGUME FORB","C3",707,"Urtidioi","Urtdi","NATIVE",19152,"Urtica dioica","URTICACEAE","Y","","",2031.774,"no"
"LITHOSPERMUM CAROLINIENSE",2015.804,"F","PERENNIAL","NON-LEGUME FORB","C3",540,"Lithcaro","Litca","NATIVE",31946,"Lithospermum caroliniense","BORAGINACEAE","Y","","",2016.804,"no"
"OENOTHERA BIENNIS",1717.2423,"F","BIENNIAL","NON-LEGUME FORB","C3",542,"Oenobien","Oenbi","NATIVE",27368,"Oenothera biennis","ONAGRACEAE","Y","","",1718.2423,"no"
"VERBASCUM THAPSUS",1715.742,"F","BIENNIAL","NON-LEGUME FORB","C3",568,"Verbthap","Verth","INTRODUCED",33394,"Verbascum thapsus","SCROPHULARIACEAE","Y","","",1716.742,"no"
"TRADESCANTIA OCCIDENTALIS",1605.0124,"F","PERENNIAL","NON-LEGUME FORB","C3",566,"Tradocci","Traoc","NATIVE",39168,"Tradescantia occidentalis","COMMELINACEAE","Y","","",1606.0124,"no"
"TRAGOPOGON DUBIUS (MAJOR)",1590.991,"F","BIENNIAL","NON-LEGUME FORB","C3",567,"Tragdubi","Tradu","INTRODUCED",38564,"Tragopogon dubius","ASTERACEAE","Y","","",1591.991,"no"
"LIATRIS ASPERA",1259.943,"F","PERENNIAL","NON-LEGUME FORB","C3",538,"Liataspe","Liaas","NATIVE",37909,"Liatris aspera","ASTERACEAE","Y","","",1260.943,"no"
"OXYBAPHUS HIRSUTUS",1240.5363,"F","PERENNIAL","NON-LEGUME FORB","C3",592,"Oxybhirs","Oxyhi","NATIVE",518054,"Oxybaphus hirsutus","NYCTAGINACEAE","Y","","",1241.5363,"no"
"ARTEMISIA (CAUDATA) CAMPESTRIS",1158.955,"F","BIENNIAL","NON-LEGUME FORB","C3",507,"Artecaud","Artca","NATIVE",183748,"Artemisia campestris","ASTERACEAE","Y","","",1159.955,"no"
"CYPERUS SP.",1143.77803,"S","PERENNIAL","SEDGE","C4",231,"Cyperusp","Cypsp","NATIVE",NA,"","CYPERACEAE","Y","","",1144.77803,"yes"
"PHYSALIS VIRGINIANA",1115.52518,"F","PERENNIAL","NON-LEGUME FORB","C3",546,"Physvirg","Phyvi","NATIVE",30612,"Physalis virginiana","SOLANACEAE","Y","","",1116.52518,"no"
"POLYGONATUM CANALICULATUM",1082.847,"F","PERENNIAL","NON-LEGUME FORB","C3",658,"Polycana","Polca","NATIVE",519344,"Polygonatum canaliculatum","LILLIACEAE","Y","","",1083.847,"no"
"LITHOSPERMUM CANESCENS",1028.27893,"F","PERENNIAL","NON-LEGUME FORB","C3",539,"Lithcane","Litca","NATIVE",31945,"Lithospermum canescens","BORAGINACEAE","Y","","",1029.27893,"no"
"ANEMONE CYLINDRICA",934.4167,"F","PERENNIAL","NON-LEGUME FORB","C3",504,"Anemcyli","Anecy","NATIVE",18438,"Anemone cylindrica","RANUNCULACEAE","Y","","",935.4167,"no"
"CREPIS TECTORUM",866.9,"F","ANNUAL","NON-LEGUME FORB","C3",519,"Creptect","Crete","INTRODUCED",37212,"Crepis tectorum","ASTERACEAE","Y","","",867.9,"no"
"HEDEOMA HISPIDA",866.1323,"F","ANNUAL","NON-LEGUME FORB","C3",529,"Hedehisp","Hedhi","NATIVE",502890,"Hedeoma hispida","LAMIACEAE","Y","","",867.1323,"no"
"ERIGERON STRIGOSUS",850.18,"F","ANNUAL","NON-LEGUME FORB","C3",522,"Erigstri","Erist","NATIVE",35951,"Erigeron strigosus","ASTERACEAE","Y","","",851.18,"no"
"PANICUM CAPILLARE",835.993,"C4","ANNUAL","GRASS","C4",109,"Panicapi","Panca","NATIVE",40914,"Panicum capillare","POACEAE","Y","","",836.993,"no"
"RUDBECKIA SEROTINA",832.58166,"F","PERENNIAL","NON-LEGUME FORB","C3",552,"Rudbsero","Rudse","NATIVE",36766,"Rudbeckia serotina","ASTERACEAE","Y","","",833.58166,"no"
"EQUISETUM LAEVIGATUM",808.52966,"O","PERENNIAL","HORSETAIL","C3",1,"Equilaev","Equla","NATIVE",17156,"Equisetum laevigatum","EQUISETACEAE","Y","","",809.52966,"no"
"PANICUM PRAECOCIOUS",721.6553,"C3","PERENNIAL","GRASS","C3",113,"Paniprae","Panpr","NATIVE",518358,"Panicum praecocius","POACEAE","Y","","",722.6553,"no"
"FRAGARIA VIRGINIANA",650.421,"F","PERENNIAL","NON-LEGUME FORB","C3",526,"Fragvirg","Fravi","NATIVE",24639,"Fragaria virginiana","ROSACEAE","Y","","",651.421,"no"
"LACTUCA CANADENSIS",520.468,"F","BIENNIAL","NON-LEGUME FORB","C3",534,"Lactcana","Lacca","NATIVE",36596,"Lactuca canadensis","ASTERACEAE","Y","","",521.468,"no"
"CENCHRUS LONGISPINUS",519.48,"C4","ANNUAL","GRASS","C4",106,"Cenclong","Cenlo","NATIVE",40570,"Cenchrus longispinus","POACEAE","Y","","",520.48,"no"
"CHENOPODIUM LEPTOPHYLLUM",504.9169,"F","ANNUAL","NON-LEGUME FORB","C3",515,"Chenlept","Chele","NATIVE",20616,"Chenopodium leptophyllum","CHENOPODIACEAE","Y","","",505.9169,"no"
"ERAGROSTIS SPECTABILIS",475.8856,"C4","PERENNIAL","GRASS","C4",107,"Eragspec","Erasp","NATIVE",40717,"Eragrostis spectabilis","POACEAE","Y","","",476.8856,"no"
"PHYSALIS HETEROPHYLLA",463.083,"F","PERENNIAL","NON-LEGUME FORB","C3",594,"Physhete","Phyhe","NATIVE",30601,"Physalis heterophylla","SOLANACEAE","Y","","",464.083,"no"
"PANICUM PERLONGUM",433.733,"C3","PERENNIAL","GRASS","C3",112,"Paniperl","Panpe","NATIVE",518351,"Panicum perlongum","POACEAE","Y","","",434.733,"no"
"CEANOTHUS AMERICANUS",421.43,"W","PERENNIAL","WOODY","C3",325,"Ceanamer","Ceaam","NATIVE",28454,"Ceanothus americanus","RHAMNACEAE","Y","","",422.43,"no"
"HIERACIUM LONGIPILUM",410.489,"F","BIENNIAL","NON-LEGUME FORB","C3",607,"Hierlong","Hielo","NATIVE",37714,"Hieracium longipilum","ASTERACEAE","Y","","",411.489,"no"
"MELILOTUS ALBA",407.587,"L","BIENNIAL","LEGUME","C3",587,"Melialba","Melal","INTRODUCED",26149,"Melilotus alba","FABACEAE","Y","","",408.587,"no"
"GNAPHALIUM OBTUSIFOLIUM",376.451,"F","BIENNIAL","NON-LEGUME FORB","C3",528,"Gnapobtu","Gnaob","NATIVE",36694,"Gnaphalium obtusifolium","ASTERACEAE","Y","","",377.451,"no"
"VIOLA PEDATIFIDA",367.84478,"F","PERENNIAL","NON-LEGUME FORB","C3",570,"Violped2","Viope","NATIVE",22131,"Viola pedatifida","VIOLACEAE","Y","","",368.84478,"no"
"HELIANTHEMUM BICKNELLII",350.911,"F","PERENNIAL","NON-LEGUME FORB","C3",530,"Helibick","Helbi","NATIVE",22259,"Helianthemum bicknellii","CISTACEAE","Y","","",351.911,"no"
"LEPIDIUM DENSIFLORUM",325.672,"F","ANNUAL","NON-LEGUME FORB","C3",536,"Lepidens","Lepde","NATIVE",22960,"Lepidium densiflorum","BRASSICACEAE","Y","","",326.672,"no"
"SETARIA VIRIDIS",223.0277,"C4","ANNUAL","GRASS","C4",119,"Setaviri","Setvi","INTRODUCED",41231,"Setaria viridis","POACEAE","Y","","",224.0277,"no"
"ASTER ERICOIDES",207.2,"F","PERENNIAL","NON-LEGUME FORB","C3",511,"Asteeric","Aster","NATIVE",35564,"Aster ericoides","ASTERACEAE","Y","","",208.2,"no"
"MOLLUGO VERTICILLATA",173.835,"F","ANNUAL","NON-LEGUME FORB","C4",590,"Mollvert","Molve","INTRODUCED",19899,"Mollugo verticillata","MOLLUGINACEAE","Y","","",174.835,"no"
"ARISTIDA BASIRAMEA",161.707,"C4","ANNUAL","GRASS","C4",123,"Arisbasi","Ariba","NATIVE",41412,"Aristida basiramea","POACEAE","Y","","",162.707,"no"
"CAMPANULA ROTUNDIFOLIA",149.223,"F","PERENNIAL","NON-LEGUME FORB","C3",579,"Camprotu","Camro","NATIVE",34497,"Campanula rotundifolia","CAMPANULACEAE","Y","","",150.223,"no"
"DIGITARIA ISCHAEMUM",125.709,"C4","ANNUAL","GRASS","C4",135,"Digiisch","Digis","INTRODUCED",40637,"Digitaria ischaemum","POACEAE","Y","","",126.709,"no"
"ASCLEPIAS OVALIFOLIA",114.36433,"F","PERENNIAL","NON-LEGUME FORB","C3",577,"Ascloval","Ascov","NATIVE",30291,"Asclepias ovalifolia","ASCLEPIACEAE","Y","","",115.36433,"no"
"POLYGALA POLYGAMA",102.419,"F","BIENNIAL","NON-LEGUME FORB","C3",547,"Polypoly","Polpo","NATIVE",29308,"Polygala polygama","POLYGALACEAE","Y","","",103.419,"no"
"SILENE ANTIRRHINA",95.81697,"F","ANNUAL","NON-LEGUME FORB","C3",557,"Sileanti","Silan","NATIVE",20045,"Silene antirrhina","CARYOPHYLLACEAE","Y","","",96.81697,"no"
"SOLIDAGO GRAMINIFOLIA",95.767,"F","PERENNIAL","NON-LEGUME FORB","C3",604,"Soligram","Solgr","NATIVE",521716,"Solidago graminifolia","ASTERACEAE","Y","","",96.767,"no"
"MONARDA FISTULOSA",82.4323,"F","PERENNIAL","NON-LEGUME FORB","C3",533,"Monafist","Monfi","NATIVE",565311,"Monarda fistulosa","LAMIACEAE","Y","","",83.4323,"no"
"PENSTEMON GRACILIS",69.208,"F","PERENNIAL","NON-LEGUME FORB","C3",543,"Pensgrac","Pengr","NATIVE",33909,"Penstemon gracilis","SCROPHULARIACEAE","Y","","",70.208,"no"
"PENSTEMON GRANDIFLORUS",67.023,"F","PERENNIAL","NON-LEGUME FORB","C3",544,"Pensgran","Pengr","NATIVE",33912,"Penstemon grandiflorus","SCROPHULARIACEAE","Y","","",68.023,"no"
"CHRYSOPSIS VILLOSA",65.733,"F","PERENNIAL","NON-LEGUME FORB","C3",516,"Chryvill","Chrvi","NATIVE",510984,"Chrysopsis villosa","ASTERACEAE","Y","","",66.733,"no"
"POLYGONUM TENUE",47.697,"F","ANNUAL","NON-LEGUME FORB","C3",597,"Polytenu","Polte","NATIVE",20929,"Polygonum tenue","POLYGONACEAE","Y","","",48.697,"no"
"ARABIS DIVARICARPA",42.403,"F","BIENNIAL","NON-LEGUME FORB","C3",574,"Arabdiva","Aradi","NATIVE",22688,"Arabis divaricarpa","BRASSICACEAE","Y","","",43.403,"no"
"HIERACIUM KALMII",41.48,"F","PERENNIAL","NON-LEGUME FORB","C3",675,"Hierkalm","Hieka","NATIVE",503023,"Hieracium kalmii","ASTERACEAE","Y","","",42.48,"no"
"SISYRINCHIUM CAMPESTRE",41.126,"F","PERENNIAL","NON-LEGUME FORB","C3",558,"Sisycamp","Sisca","NATIVE",43254,"Sisyrinchium campestre","IRIDACEAE","Y","","",42.126,"no"
"CIRSIUM ARVENSE",39.833,"F","PERENNIAL","NON-LEGUME FORB","C3",580,"Cirsarve","Cirar","INTRODUCED",36335,"Cirsium arvense","ASTERACEAE","Y","","",40.833,"no"
"ANTENNARIA NEGLECTA",36.895,"F","PERENNIAL","NON-LEGUME FORB","C3",505,"Antenegl","Antne","NATIVE",36745,"Antennaria neglecta","ASTERACEAE","Y","","",37.895,"no"
"PETALOSTEMUM PURPUREUM",33.911,"L","PERENNIAL","LEGUME","C3",652,"Petapurp","Petpu","NATIVE",26642,"Dalea purpurea","FABACEAE","Y","","",34.911,"no"
"SMILACINA RACEMOSA",29.234,"F","PERENNIAL","NON-LEGUME FORB","C3",623,"Smilrace","Smira","NATIVE",43036,"Smilacina racemosa","LILLIACEAE","Y","","",30.234,"no"
"LECHEA STRICTA",28.776,"F","PERENNIAL","NON-LEGUME FORB","C3",535,"Lechstri","Lecst","NATIVE",22297,"Lechea stricta","CISTACEAE","Y","","",29.776,"no"
"EUPHORBIA GLYPTOSPERMA",26.32503,"F","ANNUAL","NON-LEGUME FORB","C4",524,"Euphglyp","Eupgl","NATIVE",28074,"Euphorbia glyptosperma","EUPHORBIACEAE","Y","","",27.32503,"no"
"ARABIS GLABRA",18.767,"F","BIENNIAL","NON-LEGUME FORB","C3",575,"Arabglab","Aragl","NATIVE",22695,"Arabis glabra","BRASSICACEAE","Y","","",19.767,"no"
"TRIFOLIUM REPENS",12.79,"L","PERENNIAL","LEGUME","C3",405,"Trifrepe","Trire","INTRODUCED",26206,"Trifolium repens","FABACEAE","Y","","",13.79,"no"
"VICIA VILLOSA",10.238,"L","ANNUAL","LEGUME","C3",406,"Vicivill","Vicvi","INTRODUCED",26360,"Vicia villosa","FABACEAE","Y","","",11.238,"no"
"HELIANTHUS LAETIFLORUS",9.8,"F","PERENNIAL","NON-LEGUME FORB","C3",531,"Helilaet","Hella","NATIVE",502924,"Helianthus laetiflorus","ASTERACEAE","Y","","",10.8,"no"
"STIPA COMATA",8.5667,"C3","PERENNIAL","GRASS","C3",165,"Stipcoma","Stico","NATIVE",42172,"Stipa comata","POACEAE","Y","","",9.5667,"no"
"ARABIS HIRSUTA",7.807,"F","BIENNIAL","NON-LEGUME FORB","C3",617,"Arabhirs","Arahi","NATIVE",184344,"Arabis hirsuta","BRASSICACEAE","Y","","",8.807,"no"
"EUPHORBIA (SUPINA) MACULATA",7.196,"F","ANNUAL","NON-LEGUME FORB","C4",525,"Euphsupi","Eupsu","NATIVE",565768,"Euphorbia maculata","EUPHORBIACEAE","Y","","",8.196,"no"
"CALAMOVILFA LONGIFOLIA",6.167,"C4","PERENNIAL","GRASS","C4",126,"Calalong","Callo","NATIVE",41539,"Calamovilfa longifolia","POACEAE","Y","","",7.167,"no"
"SOLIDAGO SPECIOSA",6.0797,"F","PERENNIAL","NON-LEGUME FORB","C3",563,"Solispec","Solsp","NATIVE",36310,"Solidago speciosa","ASTERACEAE","Y","","",7.0797,"no"
"PANICUM VIRGATUM",5.866,"C4","PERENNIAL","GRASS","C4",114,"Panivirg","Panvi","NATIVE",40913,"Panicum virgatum","POACEAE","Y","","",6.866,"no"
"SMILACINA STELLATA",5.553,"F","PERENNIAL","NON-LEGUME FORB","C3",559,"Smilstel","Smist","NATIVE",43038,"Smilacina stellata","LILLIACEAE","Y","","",6.553,"no"
"ASCLEPIAS VERTICILLATA",5.225,"F","PERENNIAL","NON-LEGUME FORB","C3",621,"Asclvert","Ascve","NATIVE",30320,"Asclepias verticillata","ASCLEPIACEAE","Y","","",6.225,"no"
"CIRSIUM DISCOLOR",4.8333,"F","BIENNIAL, PERENNIAL","NON-LEGUME FORB","C3",763,"Cirsdisc","Cirdi","NATIVE",36362,"Cirsium discolor","ASTERACEAE","Y","","",5.8333,"no"
"POLYGONUM PERSICARIA",2.833,"F","ANNUAL","NON-LEGUME FORB","C3",608,"Polypers","Polpe","INTRODUCED",20915,"Polygonum persicaria","POLYGONACEAE","Y","","",3.833,"no"
"ERIGERON ANUUS",2.507,"F","ANNUAL","NON-LEGUME FORB","C3",635,"Eriganuu","Erian","NATIVE",35804,"Erigeron annuus","ASTERACEAE","Y","","",3.507,"no"
"KOELERIA CRISTATA",2.369,"C3","PERENNIAL","GRASS","C3",145,"Koelcris","Koecr","NATIVE",515476,"Koeleria cristata","POACEAE","Y","","",3.369,"no"
"ELYMUS CANADENSIS",2.1,"C3","PERENNIAL","GRASS","C3",140,"Elymcana","Elyca","NATIVE",40683,"Elymus canadensis","POACEAE","Y","","",3.1,"no"
"PLANTAGO (PURSHII) PATAGONICA",1.967,"F","ANNUAL","NON-LEGUME FORB","C3",638,"Planpurs","Plapu","NATIVE",32907,"Plantago patagonica","PLANTAGINACEAE","Y","","",2.967,"no"
"COREOPSIS PALMATA",1.84,"F","PERENNIAL","NON-LEGUME FORB","C3",518,"Corepalm","Corpa","NATIVE",37148,"Coreopsis palmata","ASTERACEAE","Y","","",2.84,"no"
"STACHYS PALUSTRIS",1.533,"F","PERENNIAL","NON-LEGUME FORB","C3",602,"Stacpalu","Stapa","NATIVE",32344,"Stachys palustris","LAMIACEAE","Y","","",2.533,"no"
"TRADESCANTIA BRACTEATA",0.997,"F","PERENNIAL","NON-LEGUME FORB","C3",565,"Tradbrac","Trabr","NATIVE",39157,"Tradescantia bracteata","COMMELINACEAE","Y","","",1.997,"no"
"TRIFOLIUM HYBRIDUM",0.877,"L","PERENNIAL","LEGUME","C3",413,"Trifhybr","Trihy","INTRODUCED",26261,"Trifolium hybridum","FABACEAE","Y","","",1.877,"no"
"COMANDRA RICHARDSIANA",0.786,"F","PERENNIAL","NON-LEGUME FORB","C3",581,"Comarich","Comri","NATIVE",511249,"Comandra richardsiana","SANTALACEAE","Y","","",1.786,"no"
"HIERACIUM AURANTIACUM",0.7673,"F","PERENNIAL","NON-LEGUME FORB","C3",769,"Hieraura","Hieau","INTRODUCED",37697,"Hieracium aurantiacum","ASTERACEAE","Y","","",1.7673,"no"
"LACTUCA SERRIOLA (SCARIOLA)",0.703,"F","BIENNIAL","NON-LEGUME FORB","C3",615,"Lactserr","Lacse","INTRODUCED",36608,"Lactuca serriola","ASTERACEAE","Y","","",1.703,"no"
"TYPHA GLAUCA",0.647,"F","PERENNIAL","NON-LEGUME FORB","C3",700,"Typhglau","Typgl","NATIVE",42328,"Typha glauca","TYPHACEAE","Y","","",1.647,"no"
"CONVOLVULUS ARVENSIS",0.6333,"F","PERENNIAL","NON-LEGUME FORB","C3",517,"Convarve","Conar","INTRODUCED",30705,"Convolvulus arvensis","CONVOLVULACEAE","Y","","",1.6333,"no"
"POTENTILLA ARGENTEA",0.567,"F","PERENNIAL","NON-LEGUME FORB","C3",598,"Potearge","Potar","INTRODUCED",24691,"Potentilla argentea","ROSACEAE","Y","","",1.567,"no"
"AGROSTIS ALBA",0.553,"C3","PERENNIAL","GRASS","C3",142,"Agroalba","Agral","INTRODUCED",40390,"Agrostis alba","POACEAE","Y","","",1.553,"no"
"TARAXICUM OFFICINALIS",0.496,"F","PERENNIAL","NON-LEGUME FORB","C3",630,"Taraoffi","Tarof","INTRODUCED",36213,"Taraxacum officinale","ASTERACEAE","Y","","",1.496,"no"
"RANUNCULUS RHOMBOIDEUS",0.483,"F","PERENNIAL","NON-LEGUME FORB","C3",626,"Ranurhom","Ranrh","NATIVE",18643,"Ranunculus rhomboideus","RANUNCULACEAE","Y","","",1.483,"no"
"ASCLEPIAS INCARNATA",0.367,"F","PERENNIAL","NON-LEGUME FORB","C3",500,"Asclinca","Ascin","NATIVE",30241,"Asclepias incarnata","ASCLEPIACEAE","Y","","",1.367,"no"
"POA COMPRESSA",0.367,"C3","PERENNIAL","GRASS","C3",143,"Poacompr","Poaco","INTRODUCED",41082,"Poa compressa","POACEAE","Y","","",1.367,"no"
"SPOROBOLUS CRYPTANDRUS",0.333,"C4","PERENNIAL","GRASS","C4",121,"Sporcryp","Spocr","NATIVE",42132,"Sporobolus cryptandrus","POACEAE","Y","","",1.333,"no"
"SCUTELLARIA LATERIFLORA",0.233,"F","PERENNIAL","NON-LEGUME FORB","C3",601,"Scutlate","Scula","NATIVE",32765,"Scutellaria lateriflora","LAMIACEAE","Y","","",1.233,"no"
"SOLIDAGO ALTISSIMA",0.233,"F","PERENNIAL","NON-LEGUME FORB","C3",761,"Solialti","Solal","NATIVE",36228,"Solidago altissima","ASTERACEAE","Y","","",1.233,"no"
"BUCHLOE DACTYLOIDES",0.133,"C4","PERENNIAL","GRASS","C4",130,"Buchdact","Bucda","NATIVE",41533,"Buchloe dactyloides","POACEAE","Y","","",1.133,"no"
"SALSOLA KALI",0.077,"F","ANNUAL","NON-LEGUME FORB","C4",687,"Salskali","Salka","INTRODUCED",20655,"Salsola kali","CHENOPODIACEAE","Y","","",1.077,"no"
"MEDICAGO SATIVA",0.073,"L","PERENNIAL","LEGUME","C3",419,"Medisati","Medsa","INTRODUCED",183623,"Medicago sativa","FABACEAE","Y","","",1.073,"no"
"ASTRAGALUS CANADENSIS",0.07,"L","PERENNIAL","LEGUME","C3",411,"Astrcana","Astca","NATIVE",25451,"Astragalus canadensis","FABACEAE","Y","","",1.07,"no"
"AMPHICARPA BRACTEATA",0.067,"L","ANNUAL","LEGUME","C3",401,"Amphbrac","Ampbr","INTRODUCED",25388,"Amphicarpa bracteata","FABACEAE","Y","","",1.067,"no"
"DIGITARIA SANGUINALIS",0.058,"C4","ANNUAL","GRASS","C4",129,"Digisang","Digsa","INTRODUCED",40604,"Digitaria sanguinalis","POACEAE","Y","","",1.058,"no"
"POTENTILLA NORVEGICA",0.053,"F","BIENNIAL","NON-LEGUME FORB","C3",549,"Potenorv","Potno","NATIVE",24730,"Potentilla norvegica","ROSACEAE","Y","","",1.053,"no"
"VIOLA SAGITTATA",0.05,"F","PERENNIAL","NON-LEGUME FORB","C3",606,"Violsagi","Viosa","NATIVE",22162,"Viola sagittata","VIOLACEAE","Y","","",1.05,"no"
