species,total_biomass,functional.group,duration,lifeform,pathway,origin,keep
PANICUM OLIGOSANTHES,25203.55437,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM PERLONGUM,620.875,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM PRAECOCIOUS,1044.4483,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PANICUM VIRGATUM,5.866,C4,PERENNIAL,GRASS,C4,NATIVE,YES
PENSTEMON GRACILIS,69.498,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PENSTEMON GRANDIFLORUS,67.023,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PENTHORUM SEDOIDES,2.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PETALOSTEMUM PURPUREUM,33.911,L,PERENNIAL,LEGUME,C3,NATIVE,YES
PHALARIS ARUNDINACEA,951.534,C3,PERENNIAL,GRASS,C3,NATIVE,YES
PHYSALIS HETEROPHYLLA,560.923,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PHYSALIS VIRGINIANA,1240.04218,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
PLANTAGO (PURSHII) PATAGONICA,1.967,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POA COMPRESSA,0.367,C3,PERENNIAL,GRASS,C3,INTRODUCED,YES
POA PALUSTRIS,3.17,C3,PERENNIAL,GRASS,C3,NATIVE,YES
POA PRATENSIS,302385.8203,C3,PERENNIAL,GRASS,C3,NATIVE AND/OR INTRODUCED,YES
POLYGALA POLYGAMA,130.568,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONATUM CANALICULATUM,1082.847,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONUM CONVOLVULUS,25761.41134,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POLYGONUM PENSYLVANICUM,9.033,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POLYGONUM PERSICARIA,9.333,F,ANNUAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POLYGONUM TENUE,48.911,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
POTENTILLA ARGENTEA,0.567,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POTENTILLA NORVEGICA,0.053,F,BIENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
POTENTILLA RECTA,2840.0387,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
POTENTILLA SIMPLEX,0.06,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
RANUNCULUS RHOMBOIDEUS,0.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
ROSA ARKANSANA,16929.42677,W,PERENNIAL,WOODY,C3,NATIVE,YES
RUBUS SP.,23637.43917,W,PERENNIAL,WOODY,C3,NATIVE,YES
RUDBECKIA SEROTINA,1004.47066,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
RUMEX ACETOSELLA,5411.1523,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
SALSOLA KALI,0.077,F,ANNUAL,NON-LEGUME FORB,C4,INTRODUCED,YES
SCHIZACHYRIUM SCOPARIUM,205294.9055,C4,PERENNIAL,GRASS,C4,NATIVE,YES
SCUTELLARIA LATERIFLORA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SETARIA LUTESCENS (GLAUCA),26651.54356,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
SETARIA VIRIDIS,351.0147,C4,ANNUAL,GRASS,C4,INTRODUCED,YES
SISYRINCHIUM CAMPESTRE,100.899,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SMILACINA RACEMOSA,29.234,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SMILACINA STELLATA,5.553,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLANUM AMERICANUM,2.8,F,ANNUAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO ALTISSIMA,0.233,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO GRAMINIFOLIA,95.767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO NEMORALIS,5304.47123,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO RIGIDA,27239.247,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SOLIDAGO SPECIOSA,6.6767,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
SORGHASTRUM NUTANS,12140.1465,C4,PERENNIAL,GRASS,C4,NATIVE,YES
SPOROBOLUS CRYPTANDRUS,0.333,C4,PERENNIAL,GRASS,C4,NATIVE,YES
STACHYS PALUSTRIS,3.733,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
STIPA COMATA,8.5667,C3,PERENNIAL,GRASS,C3,NATIVE,YES
STIPA SPARTEA,3196.05233,C3,PERENNIAL,GRASS,C3,NATIVE,YES
TARAXICUM OFFICINALIS,1.226,F,PERENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
TRADESCANTIA BRACTEATA,1.13,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
TRADESCANTIA OCCIDENTALIS,1900.2074,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
TRAGOPOGON DUBIUS (MAJOR),1658.993,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
TRIFOLIUM HYBRIDUM,0.877,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TRIFOLIUM PRATENSE,0.2,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TRIFOLIUM REPENS,18.277,L,PERENNIAL,LEGUME,C3,INTRODUCED,YES
TYPHA GLAUCA,0.647,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
URTICA DIOICA,5743.328,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VERBASCUM THAPSUS,1894.699,F,BIENNIAL,NON-LEGUME FORB,C3,INTRODUCED,YES
VICIA VILLOSA,16.638,L,ANNUAL,LEGUME,C3,INTRODUCED,YES
VIOLA PEDATA,0.333,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VIOLA PEDATIFIDA,416.40978,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
VIOLA SAGITTATA,0.05,F,PERENNIAL,NON-LEGUME FORB,C3,NATIVE,YES
